Name of Program,Place,University,When,Language,Duration,Credits,Fee,Registration deadline,Course leader,Target group,Course aim,Fee info,Scholarships,Credits info
Get International @ HFT Stuttgart / Germany,"Stuttgart, Germany",HFT Stuttgart Summer School 2024,1 August 2024 - 16 August 2024,English,3 weeks,2 EC,EUR 990,31 May 2024,Staff members of Hochschule für Technik University of Applied Sciences Stuttgart,"Our interdisciplinary Summer School welcomes all students: - International students from all over the world, of partner universities and non-partner universities - HFT Stuttgart students - B.A. and M.A. students of all study programmes within the study areas “Architecture and Design”, “Civil Engineering, Building Physics and Business Management” and “Geomatics, Computer Science and Mathematics” - The program language is English, therefore a level of minimun B2 in English Language is required - max. 25 students in total (places are limited)",,"EUR 990: - Students of a partner university of HFT Stuttgart: 990€ - Students of a university which is not a partner of HFT Stuttgart: 1.090€ - Students of HFT Stuttgart: 120€ (housing and public transport in Stuttgart area not included) The fee for international students (non-HFT students) includes: - Accommodation in a single room with shared bathroom, including breakfast at the International Student Hotel Stuttgart for 15 nights - German language course, project management workshop, supervision of group work and company visits - Cultural program in Stuttgart and the surrounding area, city tour of Stuttgart, two excursions/day trips to cities in southern Germany (bus, train, guided tours, entrance fees) - Catering at the welcome and farewell event - Public transportation within Stuttgart (02.-16.08.) - Administrative costs for the program","10 scholarships of 400€ each will be awarded to international students from HFT partner universities (be quick, because ""first come, first served"": Scholarships are awarded in the order in which applications are received)","2 EC Certificate of Participation and 2 Credit Points with successful participation, no grading possible"
Mobile Application Development + Croatian Language and Culture,"Zagreb and Šibenik, Croatia",Algebra International Summer School,1 July 2024 - 27 July 2024,English,4 weeks,10 EC,EUR 2350,31 May 2024,Daniel Bele has a Bachelor’s Degree in Computer Engineering. Through 15 years of professional programming he gained the certificates in Java Android and Microsoft and ITIL (ITIL v3 Foundation).,Students enrolled in higher education above the age of 18.,,"EUR 2350: Apart from the selected main module, the tuition fee also includes: CULTURAL & SOCIAL PROGRAM quirky museums, historical sightseeing, field trips CROATIAN CUISINE: lunch during weekdays COMPANY VISITS AND GUEST LECTURERS Transportation to and from Šibenik",,
Statistics with R and RStudio,"London, United Kingdom",UCL Summer School,15 July 2024 - 2 August 2024,English,3 weeks,7.5 EC,GBP 2585,1 June 2024,Dr Lucio Vinicius,This is a level one module (equivalent to first year undergraduate). No prior subject knowledge is required to study this module but students are expected to have a keen interest in the subject area.,"Upon successful completion of this module, students will: Be able to run statistical analyses ranging from simple descriptive statistics to logistic regression models Have acquired in-depth knowledge of R software and its RStudio interface Be able to evaluate the meaning, uses and limitations of statistical techniques Have produced publication-standard statistical plots Exhibit basic knowledge of R programming functions",GBP 2585: Students studying for 6 weeks (2 modules) will benefit from a built-in tuition fee discount. GBP : Students are welcome to apply for accommodation at a UCL summer residence.,,7.5 EC 7.5 ECTS / 4 US / 15 UCL
Introduction to Data Analytics in R,"Maastricht, Netherlands",Maastricht Summer School,19 August 2024 - 23 August 2024,English,1 week,2 EC,EUR 499,19 July 2024,Bram Foubert,▪ Knowledge of algebra (high-school level) ▪ Familiarity with datasets (e.g. in Excel or SPSS) ▪ No prior coding or programming experience needed,▪ Get to know the open-source language R and the accompanying developers’ environment RStudio; ▪ Become familiar with the basic objects and operations in R; ▪ Get introduced to programming and algorithmic thinking; ▪ Learn to work with data in R.,EUR 499: Tuition fee,No scholarships are available for this course.,
Big Data Analysis,"Nysa, Poland",UAS in NYSA International Summer Programme,1 July 2024 - 12 July 2024,English,2 weeks,4 EC,EUR 990,22 May 2024,"TBC Administrative coordinator: Anna Opałka, MSc. international@pans.nysa.pl",Students of all fields of study,"Program Highlights 1. Participate in the international program with students coming from all around the world. 2. Attend intensive courses, fully recognized upon completion, related to your professional interests. 3. Get additional credits. 4. Participate in courses held in various forms, such as practical classes, labs, lectures etc. 5. Professional academics and specialized practitioners in each subject field. 6. Travel easily around Poland and the rest of Central-Eastern Europe. year. The purpose of summer programme UAS in Nysa focuses and encourages students personal development in Business, Management and IT areas therefore, we invite students from all around the world to take part in our International Summer Programme in Nysa. The program aims to provide academic professional courses and additionally business and cultural activities. During time spent at our university and in the city will give a unique chance to all the participant to attend classes provided by the specialists and experts from all over the world and to spend unforgettable time in Nysa magic Town. Join us now! Gain an amazing international experience and participate in academic courses in the heart of this part of Europe!","EUR 990: Fee includes: accommodation, meals during the course, course materials, company visit, intercultural activities and other The Fee includes: accommodation, meals during the course, course materials, company visit, intercultural activities and other DEADLINE FOR APPLICATION: 22.05.2024r. APLICATION FORM : https://docs.google.com/forms/d/e/1FAIpQLSes1xJSeiUHrWD6DYrQaFJNL1eHBQXrV9BQIYmJvHIkiDWQ0g/viewform DEADLINE FOR PAYMENT (WITH GUARANTEED ACCOMMODATION): 31.05.2024","1. EU Students may apply for the Erasmus+ support to the home University for Erasmus+ short-mobility scholarship (79 EUR per day plus travel) 2. In case of bigger groups (min 5 p. ) discounts available, please contact : international@pans.nysa.pl","4 EC In the span of 2 weeks, students attended 40 hours of classes carried out in various forms: lectures, exercises, workshops, group projects, visits to partnered companies and a cultural and integrating rich programme."
Quantum Ai,"Lignano Sabbiadoro (UD), Italy",EQAI European Summer School on Quantum AI,2 September 2024 - 6 September 2024,English,1 week,,EUR 610,19 August 2024,"Giuseppe Serra & Carla Piazza - Professors of Computer Science, University of Udine Alessandra di Pierro - Professor of Computer Science, University of Verona Francesco Petruccione - Professor of Quantum Computing, Stellenbosch University","Young researchers, Ph.D. students, university students, but also quantum enthusiasts coming from the industry and outside of academia … Everyone who is passionate about quantum technologies, quantum computing, quantum machine learning, and quantum artificial intelligence is eligible to apply!","This summer school aims to provide an objective and clear overview, as well as an in-depth analysis, of the state-of-the-art research in Quantum Machine Learning and Deep Learning.",EUR 610: Fee: 500 € + VAT The Summer School will be held in the holiday resort “Bella Italia Village” in Lignano Sabbiadoro. A number of single and shared rooms will be made available at a special rate for attendees. Check the updated information in the accomodation page on the website.,No,Every participant who attends at least 90% of the lectures will receive a certificate of attendance.
Applying Ethics in Digital Innovation,"Utrecht, Netherlands",Utrecht Summer School,19 August 2024 - 23 August 2024,English,1 week,2 EC,EUR 499,1 July 2024,Dr. ir. Marlies van Steenbergen,Students or practitioners who are involved or interested in digitalisation and want to learn more about the impact of digitalisation on human values and how to take this into account during design and implementation of digital solutions.,"Provide participants with insights and practical experience in recognising, addressing and dealing with moral questions in digital innovation.",EUR 499: Course + course materials EUR 250: Housing fee (optional),,
Cyber Security + Croatian Language and Culture,"Zagreb and Šibenik, Croatia",Algebra International Summer School,3 July 2024 - 27 July 2024,English,4 weeks,10 EC,EUR 2350,31 May 2024,"Robert Petrunić was born in 1973. in Nagold, Germany and has a Master’s degree in Computer Engineering. He works as senior security consultant in Eduron IS, the company dedicated to IT security education, penetration testing and computer forensics.",Students enrolled in higher education above the age of 18.,,"EUR 2350: Apart from the selected main module, the tuition fee also includes: CULTURAL & SOCIAL PROGRAM quirky museums, historical sightseeing, field trips CROATIAN CUISINE: lunch during weekdays COMPANY VISITS AND GUEST LECTURERS Transportation to and from Šibenik",,
Advanced Functional Programming in Haskell,"Utrecht, Netherlands",Utrecht Summer School,8 July 2024 - 12 July 2024,English,1 week,1.5 EC,EUR 750,1 June 2024,Gabriele Keller,"The course is targeted at (advanced) BSc or MSc students, (professional) developers, or anyone with an interest in functional programming in Haskell.","Participants will learn a modern programming paradigm. The acquired knowledge will not only enable participants to contribute to programming projects using Haskell – it will also enable them to apply the concepts they have learned to other projects, making them better programmers in any language.",EUR 750: Course + course materials EUR 200: Housing fee (optional),"We will charge a registration fee of 750 euros (or 250 euros for students) to cover our expenses. If this is problematic for you for any reason at all, please email the organisers and we can try to offer you a discounted rate or a fee waiver.",
Learning Analytics,"Joensuu, Finland",UEF Summer School 2024,5 August 2024 - 16 August 2024,English,2 weeks,5 EC,EUR 500,15 June 2024,Mohammed Saqr (mohammed.saqr@uef.fi),"Master, Doctoral","Describe the taxonomy of different terms used in the learning analytics field, and identify the differences between each of them. Recognize the different theoretical models underpinnings the learning analytics process, and apply such theories to different problems. Explain different ethical and privacy challenges, analyse institutional policies and design a policy for the group project. Identify the different steps in the analytics process, explain their steps and use it to design the group project. Evaluate the analytics examples regarding their built, ethics and application, and offers an analysis and critique of their approach. Apply the principles learnt in the course to analyse the datasets, report on the findings and discuss the possible insights, as well as evaluate its usefulness and applicability in a real-life situation.",EUR 500: Course fee. The course fee for UEF partner university students is 400 e. EUR 200: Course fee for exchange students starting in autumn 2024.,Not available.,5 EC ECTS
Python from Zero to Hero Part 2,"Maastricht, Netherlands",Maastricht Summer School,17 June 2024 - 21 June 2024,English,1 week,2 EC,EUR 599,17 May 2024,Dr. Arnoud Wils,"This course is the first module of a Maastricht Summer School series on Python for (scientific) research. It organically prepares participants for the skills and knowledge taught in the part 2 course. Both modules can be followed independently. In case participants wish to follow only this first part of the series, no prior knowledge of the Python Programming Language is required. Participants would benefit from prior experience in research skills and basis knowledge.","• Develop an understanding of how computers can learn to understand text. • Learn the ins and outs of large language models, from basic bag-of-words to more advanced transformer models. • Learn to pre-process and wrangle text data. • Provide hands-on experience in implementing text mining techniques (sentiment labelling – topic analysis) using popular Python libraries and frameworks. • Outreach to generative AI models, augmenting LLMs with your custom data (how to chat with your documents?), and text-to-image models using LangChain and Huggingface models.",EUR 599: Tuition fee,,
Smart Production Systems & Robotics,"Bochum, Germany",Ruhr- University Bochum International Summer School,14 July 2024 - 27 July 2024,English,2 weeks,3 EC,EUR 1480,1 June 2024,Learn from local experts in the field of Smart Productions Systems and Robotics including professors from Ruhr-University Bochum.,"At least 18 years of age Proficient in the English Language Currently in your Bachelor´s, Masters´s, in between or recently graduated","A new type of industrial process forms an important part of the next industrial revolution, a trend also called Industry 4.0: Smart Production Systems (SPS) integrate smart technologies into production processes, aiming at a new form of automation. Technologies like VR and robotics are connecting the cyberworld to reality and are thereby offering exciting possibilities in the realm of smart production. Cyber Physical Systems (CPS) help overcome the limits of human strength and coordination and provide answers to pressing questions of industrial societies. We will teach you in these things in our Summer School Smart Production. Not only will you gain insight into some of the most exciting areas of engineering, but you will also get to know a bit about Germany and be able to build a network of excellent students and colleagues to benefit from in your future career. Learn all about the exciting new developments in production systems and take a great opportunity to develop your skills!","EUR 1480: -All theoretical insights, interactive sessions and excursions on week days -Germany Transportation ticket (Deutschland Ticket) -Two Social evenings -Certificate of Completion from the Ruhr University Bochum (RUB) - Hostel/ Hotel Room ( 2, 3, or 4- bed rooms) for a total 13 nights. (July 13- 28, 2024) - Two meals a day from Monday thru Friday (Breakfast + Lunch) Simply take care of your flight, insurance, and visa arrangements, and leave the rest to us for a hassle-free and immersive learning journey. An early bird discount of 100€ applies for those you register by May 1, 2024.",Not available at the moment,3 EC ** Ultimately it is up to your home institution as to how many credits may be awarded.
Data Driven Web-Based Applications,"London, United Kingdom",UCL Summer School,15 July 2024 - 2 August 2024,English,3 weeks,7.5 EC,GBP 2585,1 June 2023,Alan Lane,"This is a level one module (equivalent to first year undergraduate). In addition to the standard UCL Summer School entry criteria, applicants will be expected to have experience with a coding language, Laptop with MS Office and Notepad++.","Upon successful completion of this module, students will: be able to layout a maintainable web site have a foundational understanding of database design for the internet have a foundational grasp of client vs. server-side coding tools and principles have strong direction for further study in this field be able to make informed career enhancement choices",GBP 2585: Students studying for 6 weeks (2 modules) benefit from a built-in tuition fee discount. GBP : Students have the option of staying in UCL Accommodation close to campus in vibrant central London.,,"7.5 EC 7.5 ECTS, 4 US, 15 UCL"
Remote Sensing and Microscopy Image Processing,"Veszprém, Hungary",Summer School on Remote Sensing and Microscopy Image Processing,29 July 2024 - 2 August 2024,English,1 week,8 EC,EUR 330,1 July 2024,"Zoltan Kato, SZTE Xavier Descombes, INRIA László Czúni, PE Csaba Benedek, SZTAKI",Graduate and PhD students interested in image processing.,"The Summer School on Remote Sensing and Microscopy Image Processing aims to provide a stimulating opportunity for graduate and PhD students interested in image processing. SSRM will be held between 29 July and 2 August 2024, in Veszprém, Hungary, hosted by the University of Pannonia. Participants will benefit from direct interaction with internationally renowned researchers in various fields of image processing and computer vision applied to remote sensing and microscopy as well as from interacting with fellow participants from all over the world. Students will also have the possibility to present their research. In addition to morning lectures, students work on an assignment in international teams, which are then evaluated by a committee of lecturers on the last day. The best works are awarded symbolic prizes. Students will receive a certificate of attending the Summer School and passing the exam, which is recognized as a special PhD course by several universities.","EUR 330: IEEE and EURASIP members will get substantial, about 50%, reduction subject to the sponsorship of these organizations",,
Theories of Multisensory Approaches for Researching Human Experiences,"Milano, Italy",Emotional Ergonomic of Immersive Virtual Environment (EEIVE),29 May 2024 - 31 May 2024,Italian,1 week,,EUR 450,1 May 2024,University of Milano-Bicocca,"EEIVE summmer school is aimed at young graduates of master's degrees, master's degree students, PhD students and PhD graduates, researchers and professionals. People from different research fields are welcome to join",,"EUR 450: IT COVERS ALL LECTURES, COURSE MATERIAL, WI-FI CONNECTIONS, LUNCHES AND COFFEE BREAKS. TRAVEL AND OTHER LIVING EXPENSES ARE NOT INCLUDED.",,
Introduction to Data Analytics in R - Onine,"Online, Netherlands",Maastricht Summer School,19 August 2024 - 23 August 2024,English,1 week,2 EC,EUR 499,28 July 2024,Bram Foubert,▪ Knowledge of algebra (high-school level) ▪ Familiarity with datasets (e.g. in Excel or SPSS) ▪ No prior coding or programming experience needed,,EUR 499: Tuition fee,No scholarships are available for this course.,2 EC ▪ Get to know the open-source language R and the accompanying developers’ environment RStudio; ▪ Become familiar with the basic objects and operations in R; ▪ Get introduced to programming and algorithmic thinking; ▪ Learn to work with data in R.
Modeling Altered Time Experiences in Human and Hybrid Collectives,"Chios, Greece",1st TRF Summer School on “Modeling Altered Time Experiences in Human and Hybrid Collectives”,23 July 2024 - 28 July 2024,English,1 week,,,15 March 2024,Argiro Vatakis,"Multidisciplinary teams at doctoral and early career levels in psychology, neuroscience, robotics, and computational sciences will team up to meet these challenges and advance our knowledge on timing. We seek, therefore, a nice blend of people from different disciplines with some or high knowledge in Python or Matlab. Female scientists and scientists from underrepresented countries are especially encouraged to apply.",Advancing our understanding of timing in daily life and manipulating time for better wellbeing and less stress.,EUR 0: n/a EUR 0: n/a,n/a,
Artificial Intelligence (AI) for Computer Games,"Joensuu, Finland",UEF Summer School 2024,12 August 2024 - 16 August 2024,English,1 week,3 EC,EUR 300,15 June 2024,Ville Hautamäki (ville.hautamaki@uef.fi),"Master, Doctoral","Learn that training an AI agent means that we need to train an agent to make decisions in a sequence. Learn how to formalize this problem and how such problems can be solved. Learn software tools that greatly assist in training an agent. Learn also differences in training a software agent, such as being able to play computer games, and a physical agent, such as a robot.",EUR 300: Course fee. The fee for UEF partner university students is 250 e. EUR 200: The course fee for exchange students starting at UEF in autumn 2024.,Not available.,"3 EC ECTS, possibility to earn 5 ECTS with extra work."
"Become a Digital Leader: Conceptual Modelling, Innovation, Design and Engineering Digital Ecosystems","Vienna, Austria",NEMO Summer School,15 July 2024 - 24 July 2024,English,2 weeks,6 EC,EUR 1000,30 May 2024,"The NEMO Summer School is the international educational platform of OMiLAB NPO, which takes place at the premises of the University of Vienna, Faculty of Computer Science. OMiLAB supports an active global community for conceptual modelling.",Master and PhD-students enrolled in programs of: +Computer Science +Business Informatics +Information Systems +Business Administration +Industrial Management +Service Science,"Become a Digital Leader: Skills, knowledge and competencies! The summer school provides a highly interactive experimental environment, where students and teachers focus on conceptual modelling for digital innovation ecosystems,","EUR 1000: Package I: participation fee, 12 nights accommodation in a 4 beds-room, breakfast, coffee breaks, lunch, course materials, and one outdoor event. EUR 1500: Package III: participation fee, 12 nights accommodation in a single room, breakfast, coffee breaks, lunch, course materials, and one outdoor event.",,
Mastering the research data - Tutkimusaineisto haltuun!,"Joensuu, Finland",UEF Summer School 2024,5 August 2024 - 16 August 2024,English,2 weeks,5 EC,EUR 500,15 June 2024,Manna Satama (manna.satama@uef.fi),Doctoral students and master's degree students in the final stages of studies planning doctoral studies.,"After completing the course, the student is able to identify the special characteristics of their research data and compare it with the data from other fields of research, explain what constitutes good data management, the use of metadata that supports research, and good scientific practices related to data at different stages of research, apply good and responsible data management practices in all phases of the research, write a Data Management Plan (DMP) as a part of the research plan and to update the DMP, implement open science in data management, process and describe research data in a way that enables data reuse (sharing, archiving).",EUR 500: Course fee. The course fee for UEF partner university students is 400 e. EUR 200: The course fee for exchange students starting in autumn 2024.,Not available.,5 EC ECTS
Physics (July),"London, United Kingdom",Imperial College Global Summer School,1 July 2024 - 12 July 2024,English,2 weeks,,GBP 6600,17 May 2024,"The Department of Mathematics and The Department of Physics, Imperial College London.",16 - 17,"You will have the chance to take your subject knowledge to the next level through a challenging academic programme that balances lectures, seminars and a high level of practical work. This includes the chance to access professional advice and guidance around applying for university study in the UK, especially to Imperial College London.","GBP 6600: The cost of the residential programme in 2024 will cover:* - All tuition; - Course materials, such as building materials, lab supplies and protective equipment; - Masterclasses; - Use of campus facilities, such as sports hall, classrooms and catering facilities.; - Accommodation and on-site Wi-Fi; - Three meals a day; - Induction and orientation activities; - Social activities, including travel to and from activities; - Certificate of participation on completion of the Summer School, awarded by Imperial; - Finale celebrations; - Meet-and-greet transfer service at Heathrow airport on the first and final day. * This is subject to change each year",Not available.,
Logic as a Tool for Modelling,"Amsterdam, Netherlands",VU Amsterdam Summer School,22 July 2024 - 2 August 2024,English,2 weeks,3 EC,EUR 1310,1 May 2024,"Coordinating lecturer: Giuseppe Greco, Apostolos Tzimoulis Other lecturer: Sabine Fritella, guest lecturer","Our target audience are students from any background who have some exposure to mathematical reasoning, academic maturity, and cross-disciplinary interests. We do not presuppose any subject knowledge. Specifically, we aim for advanced Bachelors students and Masters students from fields such as mathematics, computer science, economics, philosophy, finance, accounting, linguistics. Apart from Bachelor's and Master's students, we also welcome PhD candidates and professionals to apply to the course.","By the end of this course, students will be able to: -Understand what is meant by the study of logic, and summarise how different systems of reasoning(logics) come about, and outline how they can be studied. -Explain the relationship of proof theory and logic. -List and compare a number of different logics, and illustrate how they differ from classical logic. -Show how logic can be used to model diverse phenomena. -Distinguish the dual role of logic as an idealised form of reasoning and a modelling tool. -Develop a maturity concerning abstract modelling and argumentation.",EUR 1310: Tuition fees two-week course VU Students/PhD candidates and employees of VU Amsterdam* or an Aurora Network Partner €735 Students at Partner Universities of VU Amsterdam €995 Students and PhD candidates at non-partner universities of VU Amsterdam €1100 Professionals €1310 Early Bird offer Applications received before 15 March (14 March CET 23:59) receive €50 Early Bird discount!,VU Amsterdam Summer School offers two kinds of scholarships: the Equal Access Scholarship and the Photographer Scholarship. More information can be found on the VU Amsterdam Summer School website.,3 EC Contact Hours: 45 Do you want to make the most out of your summer? You can combine this course with a course in session 2 to create a 4-week Summer School in Amsterdam.
Six Sigma Design & Innovation,"Aarhus, Denmark",AU Summer University,22 July 2024 - 9 August 2024,English,3 weeks,10 EC,EUR 705,15 March 2024,Marco Ferreira Rodrigues Nogueira Santos,Master's Level,,EUR 705: EU/EEA citizens EUR 2538: NON EU/EEA citizens,No scholarships available,
Game Design and Development,"Utrecht, Netherlands",Utrecht Summer School,19 August 2024 - 23 August 2024,English,1 week,1.5 EC,EUR 600,1 July 2024,Dr. ing. Sander Bakkes,,The aim of the course is to provide you with experience and an understanding of various aspects in the design and development of games. You will obtain hands-on experience in designing and programming of games.,EUR 600: Course fee EUR 250: Housing fee,,
Physics (August),"London, United Kingdom",Imperial College Global Summer School,5 August 2024 - 16 August 2024,English,2 weeks,,GBP 6600,17 May 2024,"The Department of Mathematics and The Department of Physics, Imperial College London.",16 - 17,"You will have the chance to take your subject knowledge to the next level through a challenging academic programme that balances lectures, seminars and a high level of practical work. This includes the chance to access professional advice and guidance around applying for university study in the UK, especially to Imperial College London.","GBP 6600: The cost of the residential programme in 2024 will cover:* - All tuition; - Course materials, such as building materials, lab supplies and protective equipment; - Masterclasses; - Use of campus facilities, such as sports hall, classrooms and catering facilities.; - Accommodation and on-site Wi-Fi; - Three meals a day; - Induction and orientation activities; - Social activities, including travel to and from activities; - Certificate of participation on completion of the Summer School, awarded by Imperial; - Finale celebrations; - Meet-and-greet transfer service at Heathrow airport on the first and final day. * This is subject to change each year",Not available.,
Czech it Out 2024,"Hradec Králové, Czech Republic",University of Hradec Králové,6 July 2024 - 7 August 2024,English,5 weeks,6 EC,EUR 600,30 June 2024,Helena Holubičková E-mail: helena.holubickova@uhk.cz All information is available on our website,international students Weekly schedule Monday: 2x4 hours morning and afternoon block - mainstream lessons Tuesday: 2x4 hours morning and afternoon block - mainstream lessons Wednesday: company tour Thursday: 2x4 hours morning and afternoon block - optional subjects (two subjects; student´s choice of eight optional subjects) Friday: academic talk (4 hours) Saturday: optional full day sightseeing tour,"Main streams - each 64 hours, student select one mainstream, the stream may not be opened in case of low interest MIT1 Cybersecurity - Introduction to Cybersecurity MIT2 Smart concepts of networking and virtualization - Virtualization Platform VMware and Hyper - Smart Online Cooperation, Communication and Tools - Introduction to computer networks – smart concepts of network communication MIT3 Smart Programming MIT4 Data Science - Data Visualization - Practical Statistics for data Science in R - Machine Learning BIS1 Intercultural studies and tourism - Intercultural Studies - Services Marketing - Cultural Studies BIS2 Marketing and cultural studies - Managerial Methods - Sales and Advertising - Intercultural Business Communication BIS3 AI in education BIS4 Boosting Your Academic Skills Optional subjects - each 16 hours, student select two subjects, the subject may not be opened in case of low interest Applied Game Theory Basics of Finance Boosting Your Academic Skills Complex Systems Czech Language English Language Exploring AI in education French Language Fundamentals of Marketing Human Resources Logistics Network analysis in Gephi Technology and Knowledge Transfer",EUR 600: tuition fee EUR 390: accommodation,,
