Name of Program,Place,University,When,Language,Duration,Credits,Fee,Registration deadline,Course leader,Target group,Course aim,Fee info,Scholarships,Credits info
Innovations numériques pour un vieillissement plus heureux et plus sain : une formation transdisciplinaire,Genève (Suisse),Écoles d'été de Genève - Université de Genève,1er juillet 2024-5 juillet 2024,anglais,1 semaine,3 CE,CHF 100.00,15 avril 2024,"Professeur Katarzyna Wac, Ph.D.,Professeur d'informatique à l'Université de Genève","Nous cherchons à cultiver une approche transdisciplinaire. Le cours est donc ouvert à un large éventail de disciplines et d'intervenants (c.-à-d. les sciences sociales, la santé/vie/sciences médicales, l'informatique/ingénierie et le droit) qui s'intéressent aux technologies numériques et au vieillissement.",,CHF 100: Pour tous les participants CHF 0: gratuit pour les membres AGE-INT,,3 Équivalence CE de l'ECTS
Introduction à l'analyse des données en R,"Maastricht, Pays-Bas",École d'été de Maastricht,19 août 2024-23 août 2024,anglais,1 semaine,2 CE,499 EUR,19 juillet 2024,Bram Foubert,▪ Connaissance de l'algèbre (niveau secondaire) ▪ Familiarité avec les ensembles de données (par exemple dans Excel ou SPSS) ▪ Aucune expérience préalable de codage ou de programmation n'est nécessaire,▪ Apprenez à connaître le langage libre R et les développeurs qui l'accompagnent; ▪ Familiarisez - vous avec les objets et les opérations de base en R; ▪ Initiez - vous à la programmation et à la pensée algorithmique; ▪ Apprenez à travailler avec les données en R.,499 EUR: Frais de scolarité,Aucune bourse n'est disponible pour ce cours.,
Statistiques avec R et RStudio,Londres (Royaume-Uni),École d'été de l'UCL,15 juillet 2024 - 2 août 2024,anglais,3 semaines,7.5 CE,GBP 2585,1er juin 2024,Dr Lucio Vinicius,"Il s'agit d'un module de niveau un (équivalent à la première année de premier cycle).Aucune connaissance préalable n'est requise pour étudier ce module, mais les étudiants sont censés avoir un vif intérêt dans le domaine.","Une fois ce module terminé avec succès, les étudiants : Être en mesure d'effectuer des analyses statistiques allant de simples statistiques descriptives aux modèles de régression logistique ont acquis une connaissance approfondie du logiciel R et de son interface RStudio Être en mesure d'évaluer la signification, l'utilisation et les limitations des techniques statistiques ont produit des diagrammes statistiques standard de publication Exposer les connaissances de base des fonctions de programmation R",GBP 2585: Les étudiants qui étudient pendant 6 semaines (2 modules) bénéficieront d'un rabais sur les frais de scolarité intégrés. GBP: Les étudiants sont invités à postuler pour un hébergement dans une résidence d'été UCL.,,7.5 EC 7.5 ECTS / 4 US / 15 UCL
Certificat en sciences des données,Madrid (Espagne),Été à l'IE,27 mai 2024-30 juin 2024,anglais,5 semaines,15 CE,5900 EUR,26 mai 2024,IVAN MARTIN – DIRECTEUR ACADEMIQUE « Entrez dans le monde de la data science avec confiance. Notre cours est votre point de départ parfait dans une carrière remplie d'opportunités et de croissance dans le domaine de la data science. »,"Pour les étudiants actuels de premier cycle ou les diplômés récents qui s'intéressent à la science des données, qui cherchent des compétences pratiques en apprentissage automatique et qui sont désireux d'appliquer la science des données dans diverses industries, ce programme offre une approche adaptée.","1. Débloquer les possibilités d'emploi : Offrir aux étudiants les compétences requises sur le marché du travail d'aujourd'hui, où l'analyse des données est essentielle pour permettre aux entreprises d'extraire des connaissances et de prendre des décisions éclairées. 2. Expérience d'apprentissage prioritaire : Offrir une expérience d'apprentissage précieuse par l'entremise de l'Université IE, une institution mondialement reconnue, en améliorant les profils professionnels des étudiants. 3. Accélérer le perfectionnement des compétences : Investir dans les carrières des étudiants en sciences de l'information en les dotant de compétences essentielles et en renforçant leurs capacités dans le domaine.",5900 EUR: Conférences et cours,,
Théories des approches multisensorielles pour la recherche sur les expériences humaines,"Milano, Italie",Ergonomie émotionnelle de l'environnement virtuel immersif (EEIVE),29 mai 2024-31 mai 2024,Italien,1 semaine,,450 EUR,1er mai 2024,Université de Milan-Bicocca,"L'école EEIVE summmer s'adresse aux jeunes diplômés de maîtrise, aux étudiants de maîtrise, aux doctorants et aux doctorants, aux chercheurs et aux professionnels.",,"450 EUR: COUVERTURE DE TOUTES LES LECTURES, MATÉRIAUX DE COURS, CONNECTIONS WI-FI, LUNCHES ET FREAKS DE CAFÉ.",,
Introduction à l'analyse des données en R - Onine,"En ligne, Pays-Bas",École d'été de Maastricht,19 août 2024-23 août 2024,Anglais,1 semaine,2 CE,499 EUR,28 juillet 2024,Bram Foubert,▪ Connaissance de l'algèbre (niveau secondaire) ▪ Familiarité avec les ensembles de données (par exemple dans Excel ou SPSS) ▪ Aucune expérience préalable de codage ou de programmation n'est nécessaire,,499 EUR: Frais de scolarité,Aucune bourse n'est disponible pour ce cours.,2 EC ▪ Apprenez à connaître le langage open source R et les développeurs qui l'accompagnent environnement RStudio; ▪ Familiarisez - vous avec les objets et les opérations de base en R; ▪ Initiez - vous à la programmation et à la pensée algorithmique; ▪ Apprenez à travailler avec les données en R.
Examen systématique assisté par l'IA,"Utrecht, Pays-Bas",École d'été d'Utrecht,26 août 2024-30 août 2024,Anglais,1 semaine,"1,5 CE",EUR 715,12 août 2024,Laura Hofstee,"Les participants de divers domaines, dont la psychologie, l'éducation, le développement humain, la santé publique, les sciences de la prévention, la sociologie, le marketing, les affaires, la biologie, la médecine, les sciences politiques et la communication, bénéficieront du cours.","Après avoir participé à des conférences et des discussions et terminé les activités pratiques, les participants seront en mesure de réaliser leur examen systématique assisté par l'IA en utilisant l'apprentissage actif.",EUR 715: Frais de cours,,
La science des données et l'apprentissage automatique : les principes fondamentaux,"Coventry, Royaume-Uni",École d'été de l'Université de Warwick,14 juillet 2024-3 août 2024,Anglais,3 semaines,4 CE,2 350 livres sterling,31 mai 2024,Dr Florin Ciucu Alex Dixon,"Ce cours est ouvert aux étudiants qui étudient n'importe quelle discipline au niveau universitaire à condition qu'ils aient une connaissance de base de l'algèbre linéaire et du calcul. Nous accueillons des personnes de tous horizons, y compris des étudiants qui étudient actuellement une autre matière mais qui veulent élargir leurs connaissances dans une autre discipline. Les étudiants doivent également répondre à nos exigences d'entrée standard et doivent être âgés de 18 ans ou plus au moment où l'école d'été commence et ont une bonne compréhension de la langue anglaise.","Comprendre les compétences de base en analyse des données, y compris la préparation et le travail avec les données; résumer et modéliser une question analytique; et utiliser les outils de la statistique, de l'apprentissage et de l'exploitation minière pour répondre à la question.",GBP 2350: Tarif étudiant (pour tous les étudiants à temps plein dans une université ou un collège dans le monde entier) GBP 3150: Tarif standard,,"4 crédits CE 3-4 (US) 7,5 points ECTS (UE)"
Conception de réseaux informatiques sécurisés et fiables,"Wrocław, Pologne",École d'été de l'Université des sciences et de la technologie de Wrocław,8 juillet 2024 - 26 juillet 2024,Anglais,3 semaines,4 CE,EUR 1200,15 mai 2024,Université des sciences et de la technologie de Wrocław,Élèves possédant des compétences en matière de base technologique,La création de réseaux résistants à divers types d'échecs.,"1200 EUR: prix régulier 1100 EUR: oiseaux précoces, rabais partenariat",,
La logique comme outil de modélisation,"Amsterdam, Pays-Bas",VU École d'été d'Amsterdam,22 juillet 2024 - 2 août 2024,Anglais,2 semaines,3 CE,EUR 1310,1er mai 2024,"Coordonnatrice: Giuseppe Greco, Apostolos Tzimoulis Autre conférencière: Sabine Fritella, conférencière invitée","Notre public cible sont les étudiants de n'importe quel contexte qui ont une certaine exposition au raisonnement mathématique, la maturité académique, et les intérêts interdisciplinaires. Nous ne présupposons aucune connaissance de sujet. Spécifiquement, nous visons pour les étudiants de baccalauréats avancés et les étudiants de maîtrise de domaines tels que les mathématiques, l'informatique, l'économie, la philosophie, la finance, la comptabilité, la linguistique.","D'ici la fin de ce cours, les étudiants pourront : - comprendre ce que signifie l'étude de la logique, et résumer comment les différents systèmes de raisonnement(logiciels) viennent, et décrire comment ils peuvent être étudiés. -expliquer la relation de la théorie de la preuve et de la logique. -Lister et comparer un certain nombre de logiques différentes, et illustrer comment elles diffèrent de la logique classique. - montrer comment la logique peut être utilisée pour modéliser divers phénomènes. -distinguer le double rôle de la logique comme forme idéalisée de raisonnement et outil de modélisation. -développer une maturité en matière de modélisation abstraite et d'argumentation.",EUR 1310: Frais de scolarité cours de deux semaines VU Étudiants / candidats au doctorat et employés de VU Amsterdam* ou d'un partenaire du réseau Aurora 735 € Les étudiants des universités partenaires de VU Amsterdam 995 € Les étudiants et les candidats au doctorat dans les universités non partenaires de VU Amsterdam 1100 € Les professionnels 1310 € Offre Early Bird Les candidatures reçues avant le 15 mars (14 mars CET 23:59) reçoivent 50 € de réduction Early Bird!,VU Amsterdam Summer School offre deux types de bourses: la Bourse d'Egalité d'Accès et la Bourse de Photographe. Plus d'informations sont disponibles sur le site Internet de VU Amsterdam Summer School.,3 EC Heures de contact: 45 Voulez-vous tirer le meilleur parti de votre été? Vous pouvez combiner ce cours avec un cours en session 2 pour créer une école d'été de 4 semaines à Amsterdam.
Cybersécurité pour le secteur des soins de santé,"Funchal, île de Madère, Portugal",École d'été CyberSecPro 2024,21 juin 2024-23 juin 2024,Anglais,1 semaine,,500 EUR,31 mai 2024,Projet CyberSecPro UE,"Étudiants en cybersécurité, Experts en soins de santé, parties prenantes du secteur de la santé","À une époque où les progrès technologiques redéfinissent les soins aux patients, notre programme s'emploiera à protéger les systèmes de soins de santé contre les cybermenaces en évolution. Les participants s'informeront sur les défis propres à la santé, les stratégies de cyberrésilience, la protection des données des patients et l'intégration sécurisée des technologies émergentes. Le premier jour sera consacré à un atelier plus générique, bien qu'il ne s'écarte jamais des trois principaux domaines, tandis que le deuxième jour aura des pistes parallèles pour chacun des domaines. Le troisième jour sera consacré à un Hackathon complet spécifiquement destiné aux intervenants et experts en santé, en Maritime et en énergie qui ne possèdent pas d'expertise spécifique en cybersécurité.",500 EUR: frais pour les oiseaux précoces - Plus d'informations @ https://cybersecpro.digital-madeira.pt/index.html#pricing 550 EUR: frais réguliers - Plus d'informations @ https://cybersecpro.digital-madeira.pt/index.html#pricing,,
Science des données et analyse des données massives (niveau 2),Londres (Royaume-Uni),École d'été de l'UCL,24 juin 2024-12 juillet 2024,Anglais,3 semaines,7.5 CE,GBP 2585,1er juin 2024,"Dr Nilofar Abourashchi. Dr Matina Rassias, Dr Thomas Honnor","Il s'agit d'un module de niveau deux (équivalent à la deuxième année de premier cycle). En plus des critères d'entrée standard de l'UCL Summer School, les candidats devront avoir complété avec succès au moins un module de premier cycle en statistiques et expérience de l'utilisation de logiciels informatiques statistiques.","Une fois ce module mené à bien, les étudiants : décriront et expliqueront les concepts, compétences et outils clés utilisés dans le domaine de la science des données pour faire face aux problèmes de données massives. démontreront comment travailler avec différentes sources et formats de données, et généreront un code R approprié pour effectuer la manipulation avancée des données. appliqueront une gamme appropriée de techniques pour explorer et visualiser de grands ensembles de données complexes provenant de divers contextes et domaines de recherche. construireont des modèles statistiques pour la régression et les classifications, y compris des méthodes telles que la régression multivariée, KNN, LDA et l'analyse de l'arbre de décision. choisiront des méthodes appropriées pour valider, optimiser et mesurer les performances de différentes méthodes statistiques et seront en mesure d'évaluer, d'évaluer et de résumer les résultats.",GBP 2585: Les étudiants qui se joignent à nous pendant six semaines (deux modules) recevront un rabais sur les frais de scolarité. GBP: Les étudiants ont la possibilité de séjourner à UCL Hébergement près du campus dans le centre animé de Londres.,,7.5 EC 7.5 ECTS / 4 US / 15 UCL
Physique (juillet),Londres (Royaume-Uni),École d'été mondiale du Collège Impérial,1er juillet 2024-12 juillet 2024,Anglais,2 semaines,,6 600 livres sterling,17 mai 2024,"Département de mathématiques et Département de physique, Imperial College London.",16 - 17,"Vous aurez la chance de porter vos connaissances sur le sujet à un niveau supérieur grâce à un programme académique stimulant qui équilibre les conférences, les séminaires et un niveau élevé de travail pratique. Cela inclut la possibilité d'accéder à des conseils et des conseils professionnels autour de postuler pour des études universitaires au Royaume-Uni, en particulier à Imperial College London.","6 600 GBP : Le coût du programme résidentiel en 2024 couvrira :* - tous les frais de scolarité; - les matériaux de cours, tels que les matériaux de construction, les fournitures de laboratoire et l'équipement de protection; - les masterclasses; - l'utilisation des installations du campus, telles que les salles de sport, les salles de classe et les services de restauration.; - l'hébergement et le Wi-Fi sur place; - trois repas par jour; - les activités d'initiation et d'orientation; - les activités sociales, y compris les voyages à destination et en provenance d'activités; - le certificat de participation à l'achèvement de l'école d'été, délivré par Imperial; - les célébrations finales; - le service de transfert de salles de réunion et de réception à l'aéroport de Heathrow le premier et le dernier jour.",Non disponible.,
MegaData : l'apprentissage automatique fédéré,"Tartu, Estonie",École d'été UniTartu,28 juillet 2024 - 10 août 2024,Anglais,2 semaines,3 CE,800 EUR,30 avril 2024,"Feras Awaysheh, Université de Tartu",MSc/PhD,2. Comprendre les différentes capacités des solutions avancées de FL et développer la capacité de choisir des systèmes adéquats pour différents problèmes. 3. Appliquer des systèmes de FL de pointe pour construire des solutions évolutives pour différents défis de confidentialité des données dans différents domaines d'application. 4. Appliquer des techniques qualitatives et quantitatives dans le domaine de l'intelligence de la machine distribuée au moyen de conférences et de projets de conception utilisant des tendances de recherche de pointe afin d'identifier les forces et les faiblesses des divers systèmes. 5. Développer une réflexion stratégique et des compétences souples pour le succès de l'industrie et des entreprises en utilisant la pointe de la technologie,800 EUR: Frais de cours 227 EUR: Hébergement dans les dortoirs étudiants pour 13 nuits.,Découvrez les bourses sur notre site Web.,3 ECTS: 3 (+2 pour l'affectation supplémentaire)
IoT & AI + La langue et la culture croates,Zagreb et Šibenik (Croatie),École internationale d'été d'Algebra,1er juillet 2024 - 27 juillet 2024,Anglais,4 semaines,10 CE,2350 EUR,31 mai 2024,,Étudiants inscrits dans l'enseignement supérieur âgés de plus de 18 ans.,,"2350 EUR: En dehors du module principal sélectionné, les frais de scolarité comprennent également: CULTURAL & SOCIAL PROGRAMME musées exquis, visites historiques, excursions sur le terrain CUISINE CROATIENNE: déjeuner en semaine VISITES D'ENTREPRISE ET LOCAUX DE GUEST Transport à destination et en provenance de Šibenik",,
Conception du jeu,Turku (Finlande),École d'été Turku Åbo,5 août 2024 - 16 août 2024,Anglais,2 semaines,5 CE,75 EUR,14 avril 2024,"Université de Turku Jouni Smed, chargé de cours; Iris Moreno Fernandez, professeur",Étudiants de premier cycle avec au moins deux années terminées d'études de baccalauréat dans n'importe quel domaine.,"À la fin du cours, l'étudiant - comprend le rôle et les exigences d'un concepteur de jeu dans le processus global de développement de jeu - est capable de prendre un rôle spécialisé dans la conception des interfaces utilisateurs, de la mécanique de base ou des niveaux - peut mettre en place et manipuler l'économie interne d'un jeu et sait comment l'utiliser dans l'équilibre de jeu ou modifier la difficulté et la progression du gameplay - sait comment travailler avec un client interne ou externe pour créer un design - peut développer itérativement un design de jeu d'une idée à travers un concept dans un document de conception de jeu","75 EUR: Les frais de cours comprennent: - Inscription au cours et service à la clientèle - Enseignement, installations d'études à Turku",,
Maîtriser les données de recherche - Tutkimusaineisto haltuun!,"Joensuu, Finlande",École d'été de l'UEF 2024,5 août 2024 - 16 août 2024,Anglais,2 semaines,5 CE,500 EUR,15 juin 2024,Manna Satama (manna.satama@uef.fi),Étudiants au doctorat et étudiants en maîtrise aux dernières étapes de la planification des études au doctorat.,"Après avoir terminé le cours, l'étudiant est en mesure d'identifier les caractéristiques particulières de ses données de recherche et de les comparer aux données provenant d'autres domaines de recherche, d'expliquer ce qui constitue une bonne gestion des données, l'utilisation de métadonnées qui appuient la recherche et les bonnes pratiques scientifiques liées aux données à différents stades de la recherche, d'appliquer de bonnes pratiques de gestion des données responsables à toutes les étapes de la recherche, d'écrire un plan de gestion des données (PGD) dans le cadre du plan de recherche et de mettre à jour le PMD, de mettre en oeuvre une science ouverte dans la gestion des données, de traiter et de décrire les données de recherche de manière à permettre la réutilisation des données (échange, archivage).",500 EUR: frais de cours. Le prix de cours pour les étudiants universitaires partenaires de l'UEF est de 400 e. 200 EUR: Le prix de cours pour les étudiants en échange à partir de l'automne 2024.,Non disponible.,5 ECTS
"Devenez un leader numérique : Modélisation conceptuelle, innovation, conception et ingénierie Écosystèmes numériques",Vienne (Autriche),NEMO École d'été,15 juillet 2024 - 24 juillet 2024,Anglais,2 semaines,6 CE,1000 EUR,30 mai 2024,"L'école d'été NEMO est la plate-forme éducative internationale de l'OMiLAB NPO, qui a lieu dans les locaux de l'Université de Vienne, Faculté d'informatique. OMiLAB soutient une communauté mondiale active pour la modélisation conceptuelle.",Maîtrise et doctorat d'étudiants inscrits à des programmes de: +Informatique +Informatique d'entreprise +Systèmes d'information +Administration d'entreprise +Gestion industrielle +Science des services,"Devenez leader numérique : compétences, connaissances et compétences! L'école d'été offre un environnement expérimental hautement interactif, où les étudiants et les enseignants se concentrent sur la modélisation conceptuelle pour les écosystèmes d'innovation numérique,","EUR 1000: Forfait I: frais de participation, 12 nuits d'hébergement dans une chambre de 4 lits, petit déjeuner, pauses café, déjeuner, matériel de cours, et un événement extérieur. EUR 1500: Forfait III: frais de participation, 12 nuits d'hébergement dans une chambre individuelle, petit déjeuner, pauses café, déjeuner, matériel de cours et un événement extérieur.",,
Quantité Ai,"Lignano Sabbiadoro (UD), Italie",EQAI École européenne d'été sur l'IA quantique,2 septembre 2024 - 6 septembre 2024,Anglais,1 semaine,,610 EUR,19 août 2024,"Giuseppe Serra & Carla Piazza - Professeurs d'informatique, Université d'Udine Alessandra di Pierro - Professeur d'informatique, Université de Vérone Francesco Petruccione - Professeur d'informatique quantique, Université Stellenbosch","Jeunes chercheurs, étudiants au doctorat, étudiants à l'université, mais aussi passionnés quantiques venant de l'industrie et de l'extérieur du milieu universitaire... Tous ceux qui sont passionnés par les technologies quantiques, l'informatique quantique, l'apprentissage quantique de la machine et l'intelligence artificielle quantique sont admissibles à postuler!","Cette école d'été vise à fournir un aperçu objectif et clair, ainsi qu'une analyse approfondie, de la recherche de pointe dans l'apprentissage automatique quantique et l'apprentissage profond.",EUR 610: Honoraires: 500 € + TVA L'école d'été se tiendra dans la station balnéaire de Lignano Sabbiadoro. Un certain nombre de chambres individuelles et partagées seront mises à disposition à un tarif spécial pour les participants. Consultez les informations mises à jour sur la page d'hébergement sur le site.,Numéro,Chaque participant qui assiste à au moins 90 % des conférences recevra un certificat de participation.
Cybersécurité pour l'industrie maritime,"Funchal, île de Madère, Portugal",École d'été CyberSecPro 2024,21 juin 2024-23 juin 2024,Anglais,1 semaine,,500 EUR,31 mai 2024,Projet CyberSecPro UE,"Étudiants en cybersécurité, intervenants du domaine maritime et personnel de l'entreprise","Notre programme est axé sur la compréhension et l'atténuation des cybermenaces maritimes, le renforcement de la résilience en mer, la sécurisation des systèmes de navigation et le respect des règlements de l'industrie. Le premier jour sera consacré à un atelier plus générique, bien que jamais s'écartant des trois principaux domaines, tandis que le deuxième jour aura des pistes parallèles pour chacun des domaines. Le troisième jour sera consacré à un Hackathon complet spécialement destiné aux intervenants et experts de la santé, des affaires maritimes et de l'énergie qui ne possèdent pas d'expertise spécifique en cybersécurité.",500 EUR: frais pour les oiseaux précoces - Plus d'informations @ https://cybersecpro.digital-madeira.pt/#pricing 550 EUR: frais réguliers - Plus d'informations @ https://cybersecpro.digital-madeira.pt/#pricing,,
Applications Web pilotées par les données,Londres (Royaume-Uni),École d'été de l'UCL,15 juillet 2024 - 2 août 2024,Anglais,3 semaines,7.5 CE,GBP 2585,1er juin 2023,Alan Lane,"Il s'agit d'un module de niveau un (équivalent à la première année de premier cycle). En plus des critères d'entrée standard UCL Summer School, les candidats seront censés avoir de l'expérience avec un langage de codage, Ordinateur portable avec MS Office et Notepad++.","Une fois ce module terminé avec succès, les étudiants : seront en mesure de mettre en page un site Web à jour ont une compréhension fondamentale de la conception de la base de données pour l'Internet ont une compréhension fondamentale des outils de codage client par rapport au serveur et les principes ont une orientation solide pour poursuivre les études dans ce domaine être en mesure de faire des choix éclairés d'amélioration de carrière",GBP 2585: Les étudiants qui étudient pendant 6 semaines (2 modules) bénéficient d'un rabais sur les frais de scolarité intégrés. GBP : Les étudiants ont la possibilité de séjourner à UCL Hébergement près du campus dans le centre animé de Londres.,,"7.5 CE 7.5 ECTS, 4 É.-U., 15 UCL"
Python de Zero à Hero Partie 2,"Maastricht, Pays-Bas",École d'été de Maastricht,17 juin 2024-21 juin 2024,Anglais,1 semaine,2 CE,599 EUR,17 mai 2024,Dr Arnoud Wils,"Ce cours est le premier module d'une série d'écoles d'été de Maastricht sur le Python pour la recherche (scientifique). Il prépare organiquement les participants aux compétences et connaissances enseignées dans la partie 2 du cours. Les deux modules peuvent être suivis indépendamment. Dans le cas où les participants souhaitent suivre seulement cette première partie de la série, aucune connaissance préalable du Python Programming Language n'est requise.","• Développer une compréhension de la façon dont les ordinateurs peuvent apprendre à comprendre le texte. • Apprendre les ins et les sorties des grands modèles de langage, des sacs de mots de base aux modèles de transformateurs plus avancés. • Apprendre à pré-procéder et à mélanger les données textuelles. • Offrir une expérience pratique dans la mise en œuvre des techniques d'extraction de texte (étiquetage des sédiments – analyse thématique) à l'aide de bibliothèques et de cadres populaires Python. • Sensibilisation aux modèles d'IA génératifs, augmentation des LLM avec vos données personnalisées (comment discuter avec vos documents?) et des modèles texte à image à l'aide de modèles LangChain et Huggingface.",EUR 599: Frais de scolarité,,
Systèmes de production intelligents et robotique,"Bochum, Allemagne",Ruhr- Université Bochum International École d'été,14 juillet 2024 - 27 juillet 2024,Anglais,2 semaines,3 CE,EUR 1480,1er juin 2024,"Apprendre auprès d'experts locaux dans le domaine des systèmes de production intelligente et de la robotique, y compris des professeurs de Ruhr-University Bochum.","Au moins 18 ans Connaissance de la langue anglaise Actuellement dans votre Bachelor ́s, Masters, entre ou récemment diplômé","Un nouveau type de processus industriel constitue une partie importante de la prochaine révolution industrielle, une tendance également appelée Industrie 4.0 : les systèmes de production intelligents (SPS) intègrent les technologies intelligentes dans les processus de production, visant à une nouvelle forme d'automatisation. Les technologies comme VR et la robotique relient le cybermonde à la réalité et offrent ainsi des possibilités passionnantes dans le domaine de la production intelligente. Cyber Physical Systems (CPS) aide à surmonter les limites de la force humaine et de la coordination et fournit des réponses aux questions pressantes des sociétés industrielles. Nous vous enseignerons dans ces choses dans notre Summer School Smart Production. Non seulement vous aurez une idée des domaines d'ingénierie les plus passionnants, mais vous apprendrez également à connaître un peu l'Allemagne et serez en mesure de construire un réseau d'excellents étudiants et collègues pour profiter de votre future carrière.","1480 EUR: -Toutes les idées théoriques, les sessions interactives et les excursions les jours de semaine -Allemagne Billet de transport (Deutschland Ticket) -Deux soirées sociales -Certificat d'achèvement de la Ruhr University Bochum (RUB) - Hostel/ Hotel Room ( 2, 3 ou 4 chambres) pour un total de 13 nuits. (13-28 juillet 2024) - Deux repas par jour du lundi au vendredi (Petit déjeuner + Déjeuner) Prenez simplement soin de votre vol, assurance et visa, et laissez-nous le reste pour un voyage d'apprentissage sans tracas et immersif.",Non disponible pour le moment,"3 EC ** En fin de compte, c'est à votre établissement d'attache qu'il appartient de déterminer le nombre de crédits qui peuvent être accordés."
Science des données et analyse des données massives (niveau 2),Londres (Royaume-Uni),École d'été de l'UCL,15 juillet 2024 - 2 août 2024,Anglais,3 semaines,7.5 CE,GBP 2585,1er juin 2024,"Dr Matina Rassias, Dr Niloufar Abourashchi, Dr Thomas Honnor","Il s'agit d'un module de niveau deux (équivalent à la deuxième année de premier cycle). En plus des critères d'entrée standard de l'UCL Summer School, les candidats devront avoir complété avec succès au moins un module de premier cycle en statistiques et expérience de l'utilisation de logiciels informatiques statistiques.","Une fois ce module mené à bien, les étudiants : décriront et expliqueront les concepts, compétences et outils clés utilisés dans le domaine de la science des données pour faire face aux problèmes de données massives. démontreront comment travailler avec différentes sources et formats de données, et généreront un code R approprié pour effectuer la manipulation avancée des données. appliqueront une gamme appropriée de techniques pour explorer et visualiser de grands ensembles de données complexes provenant de divers contextes et domaines de recherche. construireont des modèles statistiques pour la régression et les classifications, y compris des méthodes telles que la régression multivariée, KNN, LDA et l'analyse de l'arbre de décision. choisiront des méthodes appropriées pour valider, optimiser et mesurer les performances de différentes méthodes statistiques et seront en mesure d'évaluer, d'évaluer et de résumer les résultats.","GBP 2585: Les étudiants qui étudient pendant 6 semaines (2 modules) bénéficient d'un rabais sur les frais de scolarité intégrés. GBP 0: Les étudiants ont la possibilité de vivre dans UCL Hébergement, près du campus dans le centre animé de Londres.",,7.5 EC 7.5 ECTS / 4 US / 15 UCL
Apprentissage pratique de la machine,Londres (Royaume-Uni),Queen Mary University of London Summer School,21 juillet 2024 - 11 août 2024,Anglais,3 semaines,7.5 CE,2415 GBP,24 mai 2024,Dimitris Kalogiros,Étudiants de premier cycle,"Il s'agit d'un cours pratique qui vous offre une introduction aux concepts d'apprentissage automatique et l'application d'algorithmes à plusieurs types d'échantillons de données disponibles. Pour ce faire, vous serez introduit dans le langage de programmation Python et les concepts clés liés à la boîte à outils de programmation TensorFlowTM. Vous apprendrez à former des algorithmes d'apprentissage automatique et à évaluer leurs performances sur les données d'image et les données scientifiques du grand collisionneur Hadron. Nous développerons vos compétences de programmation afin que vous puissiez explorer les avantages potentiels des algorithmes d'apprentissage profond.","GBP 2415: The Queen Mary Summer School coûte: £2 415 par session. Nous offrons une réduction de 10% pour les personnes qui postulent avant le 31 mars 2024. À partir du 31 mars, nous offrons une réduction de 10% pour: • les étudiants et le personnel des institutions partenaires • les diplômés • les étudiants actuels de Queen Mary Hébergement Sur le campus coûtera environ £964 par session. Frais supplémentaires et excursions de cours Veuillez noter que certains cours ont des frais supplémentaires non inclus dans les frais de scolarité. Ces frais sont pour les activités et les voyages sur le terrain qui peuvent avoir lieu loin de notre campus. Nous donnerons plus de détails de ces coûts en temps utile. Veuillez noter qu'il n'y a pas de paiement de dépôt requis pour l'école d'été Queen Mary.",Il n'y a pas de bourses disponibles pour ce cours,"7.5 EC Vous étudierez un cours par session Queen Mary Summer School. Chaque cours vaut 15 crédits Queen Mary. Habituellement, les 15 crédits que nous décernerons pour chaque session Queen Mary Summer School de trois semaines se traduisent par 3 à 4 crédits dans le système américain et 7.5 ECTS dans le système européen. Votre établissement d'origine devrait confirmer s'il accordera des crédits pour les cours Summer School. Bien que nous ferons tout notre possible pour vous soutenir tout au long du processus de demande d'inscription à l'école d'été, il est de votre responsabilité de vérifier auprès de votre établissement d'origine si vous pouvez transférer des crédits de l'école d'été avant d'arriver à Queen Mary."
Développement d'applications mobiles + Langue et culture croates,Zagreb et Šibenik (Croatie),École internationale d'été d'Algebra,1er juillet 2024 - 27 juillet 2024,Anglais,4 semaines,10 CE,2350 EUR,31 mai 2024,"Daniel Bele a un baccalauréat en ingénierie informatique. A travers 15 ans de programmation professionnelle, il a obtenu les certificats en Java Android et Microsoft et ITIL (ITIL v3 Foundation).",Étudiants inscrits dans l'enseignement supérieur âgés de plus de 18 ans.,,"2350 EUR: En dehors du module principal sélectionné, les frais de scolarité comprennent également: CULTURAL & SOCIAL PROGRAMME musées exquis, visites historiques, excursions sur le terrain CUISINE CROATIENNE: déjeuner en semaine VISITES D'ENTREPRISE ET LOCAUX DE GUEST Transport à destination et en provenance de Šibenik",,
Deep Learning: Fondements et applications,"St. Gallen, Suisse",GSERM - École mondiale des méthodes de recherche empirique,10 juin 2024-14 juin 2024,Anglais,1 semaine,4 CE,CHF 1100.00,30 avril 2024,Damian Borth & Korbinian Riedhammer,Doctorat postdoctoral professionnel,,CHF 1100: Doctorat CHF 2000: Postdoc.,,
