Name of Program,Place,University,When,Language,Duration,Credits,Fee,Registration deadline,Course leader,Target group,Course aim,Fee info,Scholarships,Credits info
4e cours avancé sur l'intelligence artificielle et les neurosciences - ACAIN 2024,"Toscane, Italie",Centre interdisciplinaire d'études supérieures,22 septembre 2024 - 25 septembre 2024,changements climatiques,1 semaine,8 CE,580 EUR,23 mai 2024,"Directeurs et chaires: Giuseppe Nicosie, Université de Catane, Italie Panos Pardalos, Université de Floride, États-Unis","Le 4e cours et colloque avancé sur l'intelligence artificielle et les neurosciences (ACAIN) est un cours et un colloque de cinq jours à l'hôtel Riva del Sole Resort & SPA, Castiglione della Pescaia (Grosseto), en Toscane, en Italie sur les avancées de pointe dans l'intelligence artificielle et les neurosciences avec des conférences données par des experts de renommée mondiale. Le cours offre un environnement stimulant pour les universitaires, les chercheurs en début de carrière, les post-doctorants, les doctorants et les leaders de l'industrie.",Le candidat peut soumettre un résumé (max. 2 pages; n'importe quel format) pour la présentation. Les directeurs de cours et le comité scientifique examineront les résumés et recommanderont un bref exposé. Date limite de soumission des résumés : 23 mai Notification résumée : 10 juillet 2024 Site de soumission : EasyChair,"EUR 580: Frais d'inscription anticipé (d'ici le 23 mai 2024): € 580 Les frais d'inscription couvrent: tous les cours, conférences plénières, présentations orales, didacticiels, sessions spéciales/ateliers, toutes les activités scientifiques, TVA, publication dans les actes de Springer LNCS, et la participation à la 10e Conférence internationale sur l'apprentissage automatique, l'optimisation et la science des données – LOD 2024. EUR 630: Frais d'inscription tardifs (à partir du 24 mai 2024): € 630 Les frais d'inscription couvrent: tous les cours, conférences plénières, présentations orales, didacticiels, sessions spéciales/ateliers, toutes les activités scientifiques, TVA, publication dans les actes de Springer LNCS, et la participation à la 10e Conférence internationale sur l'apprentissage automatique, l'optimisation et la science des données – LOD 2024.",Pas de bourses,"8 EC L'événement comprendra un total de 36 à 40 heures de conférences, ce qui équivaut à 8 points ECTS pour les doctorants et les maîtres étudiants participant à l'événement."
Extraction de texte,"St. Gallen, Suisse",GSERM - École mondiale des méthodes de recherche empirique,10 juin 2024-14 juin 2024,changements climatiques,1 semaine,4 CE,CHF 1100.00,30 avril 2024,Edward Kwartler,Doctorat postdoctoral professionnel,,CHF 1100: Doctorat CHF 2000: Postdoc.,,
Comprendre l'intelligence artificielle et les mégadonnées,"Paris-Cachan, France",Avaincity Artificial Intelligence & Big Data International Summer School,1er juillet 2024-12 juillet 2024,changements climatiques,2 semaines,,1 500 EUR,15 juin 2024,Doréide Ammar,Ce programme est ouvert aux élèves et aux élèves des écoles secondaires - Aucun préalable n'est requis pour prendre ce programme. Il est conçu pour les élèves qui n'ont pas de connaissances avancées dans le domaine de la technologie et de l'intelligence artificielle.,Offrir aux étudiants internationaux une expérience unique dans le domaine de l'IA et des données? Les étudiants découvriront l'aspect technique de l'IA mais aussi son imitation pour l'entreprise et la gestion mais aussi pour les personnes et la sociétéY,"1500 EUR: Ces frais comprennent les cours et les visites d'entreprises 3200 EUR: Ces frais comprennent les cours, les visites d'entreprises, l'hébergement en résidence (2 ou 3 par appartement), le petit déjeuner et la boîte à lunch, le ramassage et le dépôt à l'aéroport et l'accompagnement des visites guidées est proposé à 3200€",Aucune bourse n'est proposée pour ce programme,Un certificat de cours sera délivré.
Intelligence artificielle avancée et apprentissage de la machine: Vision informatique,"Oxford, Royaume-Uni","Lady Margaret Hall, Université d'Oxford",15 juillet 2024 - 2 août 2024,changements climatiques,3 semaines,7.5 CE,EUR 1360,30 juin 2024,,"Ce cours serait adapté aux étudiants STEM avec une expérience de niveau intermédiaire dans l'intelligence artificielle, l'apprentissage automatique et les concepts et techniques de vision informatique, y compris ceux qui entreprennent, ou se tournent vers l'avenir, l'étude ou la recherche de niveau supérieur. Plus précisément, les étudiants sur ce cours doivent avoir l'expérience des sujets suivants: - Connaissance des bibliothèques d'apprentissage profond. - Compréhension des réseaux neuronaux profonds et convolutionnels. - Forte expérience dans l'optimisation et la probabilité. - Familiarité avec le langage de programmation Python.","À la fin de ce cours, vous pourrez : - comprendre les algorithmes de vision informatique pour la classification, la reconnaissance et la détection, et leur mise en oeuvre dans les bibliothèques d'apprentissage profond. - connaître les différents types de réseau d'adversaires génératifs et leurs contributions distinctes à la synthèse de données contrôlée et à la génération d'images. - être en mesure d'identifier différents modèles de diffusion et d'évaluer leurs avantages dans la modélisation générative. - être en mesure de démontrer la conscience et la compréhension des derniers domaines de recherche clés dans la vision informatique.","EUR 1360: Ce montant comprend: - Tous les frais de scolarité, y compris les conférences, séminaires et tutoriels. - Évaluation, transcription des performances académiques, et certificat. - Accès à la plate-forme d'apprentissage à distance des programmes d'été de la LMH. - Soutien du coordonnateur dédié de l'apprentissage à distance.",,"7.5 Les programmes d'été EC LMH sont conçus pour être éligibles au crédit, et nous recommandons l'attribution de 7.5 ECTS / 4 US / 15 CATS pour ce cours."
Intelligence artificielle et apprentissage de la machine: théorie et pratique,"Oxford, Royaume-Uni","Lady Margaret Hall, Université d'Oxford",5 août 2024 - 23 août 2024,changements climatiques,3 semaines,7.5 CE,3 980 livres sterling,10 mai 2024,,"Ce cours serait adapté aux étudiants STEM dans les études de premier cycle ou de premier niveau de troisième cycle. Connaissance de base de calcul et d'algèbre linéaire est nécessaire, et une certaine expérience de codage est recommandée. Expérience préalable de l'intelligence artificielle, l'apprentissage automatique, ou le langage de programmation Python n'est pas nécessaire.","À la fin de ce cours, vous allez : - comprendre les concepts théoriques de l'intelligence artificielle et de l'apprentissage machine. - savoir comment l'intelligence artificielle de base et les outils d'apprentissage machine sont utilisés dans la pratique. - savoir mettre en œuvre des algorithmes de base et former de petits réseaux pour des problèmes pratiques. - être capable d'identifier et d'utiliser l'intelligence artificielle pertinente et les outils d'apprentissage machine dans la recherche. - savoir mettre en œuvre et déployer des algorithmes d'intelligence artificielle et d'apprentissage machine sur Google Cloud.","GBP 3980: Ce montant comprend: - Tous les frais de scolarité, y compris les conférences, séminaires et didacticiels. - Évaluation, transcription des performances académiques, et certificat. - Un programme co-curriculaire d'ateliers de compétences et de conférenciers invités. - Accès à la bibliothèque du Collège Lady Margaret Hall. - Logements de chambre tout au long de votre programme. - Déjeuner et dîner dans la salle à manger du Collège du lundi au vendredi. - Un programme social et culturel complet, comprenant deux excursions dans d'autres villes anglaises par session de programme de trois semaines. - Une photographie de classe imprimée de haute qualité. - Un banquet officiel de graduation.",,"7.5 Les programmes d'été EC LMH sont conçus pour être éligibles au crédit, et nous recommandons l'attribution de 7.5 ECTS / 4 US / 15 CATS pour ce cours."
École d'été de l'IA et du Big Data,Leipzig (Allemagne),École d'été internationale ScaDs.AI,25 juin 2024-28 juin 2024,changements climatiques,1 semaine,,300 EUR,1er juin 2024,"Prof. Dr. Erhard Rahm Directeur ScaDS Dresden/Leipzig, Universität Leipzig Dr. Eric Peukert Directeur de l'administration ScaDS Dresden/Leipzig, Universität Leipzig","L'école vise les étudiants diplômés, les étudiants de doctorat, les chercheurs ainsi que les praticiens commençant ou étant actifs dans les domaines de l'apprentissage automatique, de l'intelligence artificielle et du Big Data.","Dans le cadre de ce programme, nous offrons des informations inspirantes sur divers domaines de recherche par des conférenciers reconnus à l'échelle internationale et bien connus. Outre quelques points forts de notre centre, nous aurons également des présentations par des collègues du réseau des centres allemands de compétences en intelligence artificielle. En outre, les participants se verront offrir un large éventail d'occasions d'échanges scientifiques - d'activités sociales telles qu'une visite de ville et un dîner dans un restaurant traditionnel à la navigation de dragon ensemble.","300 EUR: Ticket d'Oiseau précoce - Inscription standard: https://pretix.eu/infai/SummerSchool2024/ EUR 80: Ticket — Master Students Ce billet est destiné aux étudiants de Master et permet la participation sans le programme social à l'école internationale d'été 2024 de ScaDS.AI Dresden/Leipzig. Si vous êtes intéressé, envoyez-nous une lettre de motivation et un scan de la carte d'identité de l'étudiant à l'adresse suivante: scads.ai.events@uni-leipzig.de. Inscription: https://pretix.eu/infai/SummerSchool2024/",,
Introduction aux outils et méthodes d'intelligence artificielle,Budapest (Hongrie),Eötvös Loránd Université École d'été,15 juillet 2024-21 juillet 2024,changements climatiques,1 semaine,3 CE,280 EUR,31 mai 2024,"ELTE Faculté d'Infromatique, Département d'Intelligence Artificielle","Nous recommandons ce cours pour ceux qui sont familiers avec les langages de codage de script, l'algèbre linéaire, et les idées de base derrière les statistiques et les probabilités.",Ce cours d'été vise à fournir le premier aperçu de l'Intelligence Artificielle pour les étudiants ayant une formation dans les domaines STEM.,280 EUR: Le prix du cours pour les cours en ligne d'une semaine - qui comprend les frais de scolarité et le matériel pédagogique - est de 280 EUR,Non disponible,"3 EC Le cours offre des points ECTS, qui peuvent être acceptés pour le transfert de crédit par les universités d'origine des participants. Ceux qui souhaitent obtenir ces crédits devraient se renseigner sur le transfert possible à leur établissement d'origine avant leur inscription."
Intelligence artificielle avancée et apprentissage de la machine: traitement du langage naturel,"Oxford, Royaume-Uni","Lady Margaret Hall, Université d'Oxford",15 juillet 2024 - 2 août 2024,changements climatiques,3 semaines,7.5 CE,3 980 livres sterling,10 mai 2024,,"Ce cours s'adapterait aux étudiants STEM ayant une expérience de niveau intermédiaire en intelligence artificielle, en apprentissage automatique et en techniques de traitement du langage naturel, y compris ceux qui entreprennent ou envisagent d'entreprendre des études ou des recherches de niveau supérieur. Plus précisément, les étudiants sur ce cours doivent avoir l'expérience des sujets suivants: - Connaissance des bibliothèques d'apprentissage profond. - Compréhension de l'apprentissage profond, des réseaux neuronaux récurrents, du GRU et des LSTM. - Forte formation en optimisation et probabilité. - Familiarité avec le langage de programmation Python.","D'ici la fin de ce cours, vous pourrez : - être en mesure de démontrer la compréhension des algorithmes et des méthodes utilisés pour traiter les données textuelles. - comprendre la fonctionnalité des grands modèles de langage et leur formation au moyen d'un réglage fin, d'une adaptation de bas rang et d'une adaptation de bas rang quantifiée. - démontrer la compréhension des applications pratiques du traitement du langage naturel. - être en mesure de discuter des limitations potentielles, des biais, des préoccupations éthiques et des abus de NLP.","GBP 3980: Ce montant comprend: - Tous les frais de scolarité, y compris les conférences, séminaires et didacticiels. - Évaluation, transcription des performances académiques, et certificat. - Un programme co-curriculaire d'ateliers de compétences et de conférenciers invités. - Accès à la bibliothèque du Collège Lady Margaret Hall. - Logements de chambre tout au long de votre programme. - Déjeuner et dîner dans la salle à manger du Collège du lundi au vendredi. - Un programme social et culturel complet, comprenant deux excursions dans d'autres villes anglaises par session de programme de trois semaines. - Une photographie de classe imprimée de haute qualité. - Un banquet officiel de graduation.",,"7.5 Les programmes d'été EC LMH sont conçus pour être éligibles au crédit, et nous recommandons l'attribution de 7.5 ECTS / 4 US / 15 CATS pour ce cours."
L'apprentissage automatique pour les entreprises,"Amsterdam, Pays-Bas",Tinbergen Institute & Business Data Science Summer School,22 juillet 2024 - 26 juillet 2024,changements climatiques,1 semaine,3 CE,1000 EUR,24 juin 2024,"Eran Raviv est titulaire d'un doctorat en économétrie à l'Université Erasmus de Rotterdam, d'un master en statistique appliquée (Université de Tel-Aviv) et d'un master en finance quantitative (EUR).","Les étudiants sont censés avoir une solide formation en calcul, algèbre linéaire et statistiques classiques. Bonne connaissance des langues open source telles que R ou Python est un must. Conditions d'admission Les étudiants sont censés avoir une solide formation en calcul, algèbre linéaire et statistiques classiques. Bonne connaissance des langues open source telles que R ou Python est un must.","Le cours vise à réduire au minimum l'écart entre la théorie statistique moderne et l'application pratique dans les milieux d'affaires, où de nombreux outils statistiques sont sous-utilisés.",1000 EUR: doctorants et étudiants de master € 1.000 EUR 2000: universitaires (y compris postdocs) et professionnels € 2.000,,3 Les participants d'EC qui ont rejoint au moins 80 % de toutes les sessions et remis à l'affectation recevront un certificat de participation indiquant que l'école d'été est équivalente à une charge de travail de 3 ECTS. Notez qu'il est de la responsabilité de l'étudiant de faire inscrire ces crédits à leur université.
Intelligence artificielle et apprentissage de la machine: théorie et pratique,"Oxford, Royaume-Uni","Lady Margaret Hall, Université d'Oxford",5 août 2024 - 23 août 2024,changements climatiques,3 semaines,7.5 CE,1 360 livres sterling,10 juillet 2024,,"Ce cours serait adapté aux étudiants STEM dans les études de premier cycle ou de premier niveau de troisième cycle. Connaissance de base de calcul et d'algèbre linéaire est nécessaire, et une certaine expérience de codage est recommandée. Expérience préalable de l'intelligence artificielle, l'apprentissage automatique, ou le langage de programmation Python n'est pas nécessaire.","À la fin de ce cours, vous allez : - comprendre les concepts théoriques de l'intelligence artificielle et de l'apprentissage machine. - savoir comment l'intelligence artificielle de base et les outils d'apprentissage machine sont utilisés dans la pratique. - savoir mettre en œuvre des algorithmes de base et former de petits réseaux pour des problèmes pratiques. - être capable d'identifier et d'utiliser l'intelligence artificielle pertinente et les outils d'apprentissage machine dans la recherche. - savoir mettre en œuvre et déployer des algorithmes d'intelligence artificielle et d'apprentissage machine sur Google Cloud.","GBP 1360: Ce montant comprend: - Tous les frais de scolarité, y compris les conférences, séminaires et tutoriels. - Évaluation, transcription des performances académiques et certificat. - Accès à la plate-forme d'apprentissage à distance des programmes d'été de la LMH. - Soutien du coordonnateur dédié de l'apprentissage à distance.",,"7.5 Les programmes d'été EC LMH sont conçus pour être éligibles au crédit, et nous recommandons l'attribution de 7.5 ECTS / 4 US / 15 CATS pour ce cours."
Intelligence artificielle: De l'apprentissage profond à l'analyse des données,"Udine, Italie",AI-DLDA: École internationale d'été sur l'intelligence artificielle,1er juillet 2024-5 juillet 2024,changements climatiques,1 semaine,3 CE,400 EUR,24 juin 2024,"DIRECTEURS SCOLAIRES Gian Luca Foresti, Università di Udine (IT) Christian Micheloni, Università di Udine (IT) Rita Cucchiara, Università di Modena e Reggio Emilia (IT)","Les étudiants de maîtrise, les étudiants de doctorat, les chercheurs et les praticiens de l'industrie seront les profils idéaux des participants. Cependant, il n'y a pas de prérequis formels pour la participation en termes de diplômes académiques. Tous les participants sélectionnés bénéficieront d'une interaction directe avec les leaders mondiaux de l'IA.","L'IA-DLDA s'adresse aux jeunes chercheurs, aux étudiants en doctorat et aux praticiens de l'industrie dans le but d'offrir une mise à jour sur les plus récentes avancées dans le domaine de l'intelligence artificielle, de l'apprentissage profond à l'analyse des données. En participant à la classe sur place, vous aurez plus d'opportunités que de suivre les cours en ligne : - Établir une relation directe avec des universitaires européens éminents, ayant la possibilité d'interagir avec des professeurs et des conférenciers tant en classe qu'au cours de pauses-café ou de rencontres conviviales. - Rencontrez des étudiants en doctorat, des universitaires et des chercheurs d'autres pays et partagez études, expériences et points de vue. - Réseau avec des PDG, des CFO et des praticiens de l'industrie du domaine de l'IA afin de créer des partenariats pour de futures collaborations.","400 EUR: ÉTUDE ONSITE EARLY BIRD (jusqu'au 30 avril) - 350,00 € ÉTUDE ONSITE - 400,00 € ÉTUDE ONLINE - 350,00 € EUR : PARTICIPANTS D'ENTREPRISE (PROFESSIONNELS, LIBRE LANCE. ETC) s'il vous plaît nous écrire un email à aidlda@ditedi.it pour plus de détails","DÉLAI DE DEMANDE: Maj 20e à 11h Ce qui est nécessaire pour la demande de bourse: CV, certificat de participation, résumé de recherche de projet d'IA, prépaiement des frais. Si vous êtes sélectionné, vous serez remboursé des frais + avoir un logement gratuit à Udine",3 EC Les universités italiennes reconnaissent 3 UFC. Les universités étrangères reconnaissent un certain nombre de crédits à la discrétion du Chancelier.
Intelligence artificielle avancée et apprentissage automatique : apprentissage profond sans supervision,"Oxford, Royaume-Uni","Lady Margaret Hall, Université d'Oxford",5 août 2024 - 23 août 2024,changements climatiques,3 semaines,7.5 CE,1 360 livres sterling,10 juillet 2024,,"Ce cours s'adapterait aux étudiants STEM ayant une expérience de niveau intermédiaire en intelligence artificielle et en concepts et techniques d'apprentissage automatique, y compris ceux qui entreprennent ou envisagent d'entreprendre des études ou des recherches de niveau supérieur. Plus précisément, les étudiants sur ce cours doivent avoir l'expérience des sujets suivants: - Connaissance des bibliothèques d'apprentissage profond. - Compréhension de l'apprentissage profond, des réseaux neuronaux récurrents et des réseaux neuronaux convolutionnels. - Forts antécédents en optimisation et probabilité. - Familiarité avec le langage de programmation Python.","À la fin de ce cours, vous pourrez : - comprendre les différences entre l'apprentissage supervisé et non supervisé et les fondamentaux du cluster. - être en mesure d'utiliser une gamme d'algorithmes et de techniques pour l'apprentissage non supervisé, auto-supervisé et semi-supervisé. - être en mesure d'évaluer l'efficacité des applications du monde réel de l'apprentissage profondément non supervisé dans différents domaines. - être en mesure de démontrer la familiarité avec l'état actuel de la recherche sur l'apprentissage profondément non supervisé.","GBP 1360: Ce montant comprend: - Tous les frais de scolarité, y compris les conférences, séminaires et tutoriels. - Évaluation, transcription des performances académiques et certificat. - Accès à la plate-forme d'apprentissage à distance des programmes d'été de la LMH. - Soutien du coordonnateur dédié de l'apprentissage à distance.",,"7.5 Les programmes d'été EC LMH sont conçus pour être éligibles au crédit, et nous recommandons l'attribution de 7.5 ECTS / 4 US / 15 CATS pour ce cours."
Intelligence artificielle avancée et apprentissage automatique : apprentissage profond sans supervision,"Oxford, Royaume-Uni","Lady Margaret Hall, Université d'Oxford",5 août 2024 - 23 août 2024,changements climatiques,3 semaines,7.5 CE,3 980 livres sterling,10 mai 2024,,"Ce cours s'adapterait aux étudiants STEM ayant une expérience de niveau intermédiaire en intelligence artificielle et en concepts et techniques d'apprentissage automatique, y compris ceux qui entreprennent ou envisagent d'entreprendre des études ou des recherches de niveau supérieur. Plus précisément, les étudiants sur ce cours doivent avoir l'expérience des sujets suivants: - Connaissance des bibliothèques d'apprentissage profond. - Compréhension de l'apprentissage profond, des réseaux neuronaux récurrents et des réseaux neuronaux convolutionnels. - Forts antécédents en optimisation et probabilité. - Familiarité avec le langage de programmation Python.","À la fin de ce cours, vous pourrez : - comprendre les différences entre l'apprentissage supervisé et non supervisé et les fondamentaux du cluster. - être en mesure d'utiliser une gamme d'algorithmes et de techniques pour l'apprentissage non supervisé, auto-supervisé et semi-supervisé. - être en mesure d'évaluer l'efficacité des applications du monde réel de l'apprentissage profondément non supervisé dans différents domaines. - être en mesure de démontrer la familiarité avec l'état actuel de la recherche sur l'apprentissage profondément non supervisé.","GBP 3980: Ce montant comprend: - Tous les frais de scolarité, y compris les conférences, séminaires et didacticiels. - Évaluation, transcription des performances académiques, et certificat. - Un programme co-curriculaire d'ateliers de compétences et de conférenciers invités. - Accès à la bibliothèque du Collège Lady Margaret Hall. - Logements de chambre tout au long de votre programme. - Déjeuner et dîner dans la salle à manger du Collège du lundi au vendredi. - Un programme social et culturel complet, comprenant deux excursions dans d'autres villes anglaises par session de programme de trois semaines. - Une photographie de classe imprimée de haute qualité. - Un banquet officiel de graduation.",,"7.5 Les programmes d'été EC LMH sont conçus pour être éligibles au crédit, et nous recommandons l'attribution de 7.5 ECTS / 4 US / 15 CATS pour ce cours."
Conception conduite par l'IA : des fondations à l'innovation éthique,Madrid (Espagne),École internationale d'été UPM,1er juillet 2024-5 juillet 2024,changements climatiques,1 semaine,3 CE,525 EUR,19 avril 2024,Pablo Bris & Alberto Díez,"- Les passionnés de design : Les étudiants ayant une formation ou un intérêt dans le design, y compris, mais non exclusivement, le design graphique, le design industriel, l'expérience utilisateur (UX) et d'autres disciplines créatives - Les passionnés de technologie et d'IA : Les personnes qui ont une curiosité pour l'IA et ses applications dans divers domaines, qui veulent explorer comment -AI peut améliorer et transformer les pratiques de design Les étudiants des arts et des humanités : Les personnes qui étudient ou s'intéressent aux arts, aux humanités et aux domaines connexes, cherchant à combler le fossé entre la créativité et la technologie grâce aux applications d'IA dans le design",Ce cours vise à doter les étudiants d'outils pratiques et théoriques pour exceller dans l'espace dynamique où le design et la technologie convergent.,EUR 525: Frais de scolarité,Les étudiants qui s'inscrivent avant le 29 février 2024 recevront un tarif réduit.,
"Qu'est-ce que le Buzz? Société, médias sociaux et intelligence artificielle en Europe aujourd'hui","Tübingen, Allemagne",Tübingen-International & European Studies (T-IES),31 mai 2024-28 juin 2024,changements climatiques,4 semaines,8 CE,EUR 1950,30 avril 2024,Les cours sont enseignés par la faculté de l'Université de Tübingen et des experts dédiés à l'étude de l'Europe.,"Les cours sont conçus pour les étudiants de premier cycle de toutes les disciplines académiques avec un fort intérêt général pour les cultures, l'Europe et l'Allemagne en particulier. Une très bonne maîtrise de l'anglais et la volonté de participer activement pendant les activités de cours sont nécessaires.","En se familiarisant avec le fonctionnement de l'UE aujourd'hui et les défis récents auxquels elle est confrontée, les étudiants auront à la fin du cours des connaissances solides sur le processus, les avantages potentiels et les pièges de l'intégration régionale qu'ils peuvent non seulement s'appliquer à l'Europe seule, mais aussi à d'autres régions du monde. Ils seront en mesure d'identifier et de comprendre la dynamique de l'élaboration des politiques transnationales et la manière dont la coordination des activités politiques entre les États-nations influe généralement sur la vie des citoyens dans de nombreux pays en même temps.","EUR 1950: Le prix comprend - Tous les cours - Matériel du cours - Voyages d'études - Hébergement à Tübingen - Activités culturelles et sociales - Un billet de transport en commun pour l'utilisation à Tübingen - Réception d'accueil et d'adieu EUR 1800: Pour les étudiants inscrits dans une université partenaire de l'Université de Tübingen, le prix du programme sera de € 1.800.",,"8 EC Après l'achèvement de tous les cours et l'accomplissement de toutes les exigences des cours, 8 crédits ECTS seront attribués pour la participation à l'école d'été (cours thématiques: 6 crédits ECTS; cours de langue allemande et atelier interculturel: 2 crédits ECTS). L'Université de Tübingen applique le système européen de transfert et d'accumulation de crédits (ECTS). L'ECTS est un système de reconnaissance internationale des acquis académiques et de transfert de crédits d'études. Ainsi, les résultats d'études et d'examen obtenus au cours d'une étude à l'étranger peuvent être reconnus par l'université d'origine. À l'Université de Tübingen 1 ECTS équivaut à une charge de travail de 30 heures. La charge de travail comprend une présence régulière et une participation active aux cours, études privées et indépendantes, préparation de projets et d'examens (test écrit, présentation orale, essai)."
Technologie de la parole,"Leeuwarden, Pays-Bas",Écoles d'été de l'Université de Groningen,3 juin 2024 - 7 juin 2024,changements climatiques,1 semaine,,,15 avril 2024,Matt Coler,"Ce programme est conçu pour toute personne intéressée par le sujet. Il s'agit d'une école d'été de niveau d'entrée pour tous. Aucune connaissance préalable n'est requise. Nous prédisons que les étudiants de certaines disciplines peuvent être particulièrement intéressés. Par ordre de pertinence : Études de technologie émergente et d'innovation : Ceux qui participent à des domaines plus vastes de la technologie émergente, des études d'innovation ou des études scientifiques et technologiques trouveront le cours axé sur les implications futures et les considérations éthiques de la technologie de la parole particulièrement pertinentes.Interaction homme-ordinateur (HCI) et expérience utilisateur responsable (UX) Conception : Les étudiants et les professionnels des programmes de HCI et de UX Design pourront explorer comment les interfaces de la parole peuvent améliorer l'expérience utilisateur et l'accessibilité dans la conception technologique.Le cours fournit des exemples pratiques de principes de conception centrés sur l'utilisateur dans les applications de la technologie de la parole.","Après cette école d'été, vous pourrez : - expliquer les principes fondamentaux de la technologie de la parole : énoncer clairement les principes, les mécanismes et les progrès potentiels dans les systèmes de reconnaissance et de synthèse de la parole. - intégrer la conception éthique et axée sur l'humain dans la technologie de la parole : évaluer et intégrer les considérations éthiques et les approches de conception centrées sur l'humain dans le développement et l'évaluation des applications de la technologie de la parole, en assurant l'inclusivité et l'équité. - mener des projets de futurance et de planification de scénarios pour la technologie de la parole : employer des méthodes de futurance et de planification de scénarios spécialement adaptées à la technologie de la parole, vous permettant d'anticiper, de discuter et de vous préparer à divers développements et défis futurs dans le domaine. - appliquer la résolution de problèmes dans la conception de la technologie : démontrer la capacité de relever de façon créative les défis de la conception de la technologie, en particulier en intégrant la technologie de la parole dans diverses applications, par l'idée, le prototypage et l'évaluation critique.",0 EUR: tba,,TBA
Intelligence artificielle avancée et apprentissage automatique: Apprentissage du renforcement,"Oxford, Royaume-Uni","Lady Margaret Hall, Université d'Oxford",24 juin 2024-12 juillet 2024,changements climatiques,3 semaines,7.5 CE,3 980 livres sterling,10 mai 2024,,"Ce cours s'adapterait aux étudiants STEM ayant une expérience de niveau intermédiaire en intelligence artificielle et en concepts et techniques d'apprentissage automatique, y compris ceux qui entreprennent ou envisagent d'entreprendre des études ou des recherches de niveau supérieur. Plus précisément, les étudiants sur ce cours doivent avoir l'expérience des sujets suivants: - Connaissance des bibliothèques d'apprentissage profond. - Compréhension de l'apprentissage profond, des réseaux neuronaux et de la programmation dynamique de base. - Forte formation en optimisation et probabilité. - Familiarité avec le langage de programmation Python.","D'ici la fin de ce cours, vous pourrez : - comprendre les fondamentaux de l'apprentissage de renforcement, y compris les agents, les environnements et les récompenses. - être en mesure d'évaluer et d'utiliser une gamme d'approches d'apprentissage de renforcement. - être en mesure d'évaluer l'efficacité d'une gamme de méthodes d'apprentissage de renforcement. - comprendre différentes stratégies pour la formation de plusieurs agents, à la fois décentralisés et centralisés.","GBP 3980: Ce montant comprend: - Tous les frais de scolarité, y compris les conférences, séminaires et didacticiels. - Évaluation, transcription des performances académiques, et certificat. - Un programme co-curriculaire d'ateliers de compétences et de conférenciers invités. - Accès à la bibliothèque du Collège Lady Margaret Hall. - Logements de chambre tout au long de votre programme. - Déjeuner et dîner dans la salle à manger du Collège du lundi au vendredi. - Un programme social et culturel complet, comprenant deux excursions dans d'autres villes anglaises par session de programme de trois semaines. - Une photographie de classe imprimée de haute qualité. - Un banquet officiel de graduation.",,"7.5 Les programmes d'été EC LMH sont conçus pour être éligibles au crédit, et nous recommandons l'attribution de 7.5 ECTS / 4 US / 15 CATS pour ce cours."
Intelligence artificielle avancée et apprentissage de la machine: Vision informatique,"Oxford, Royaume-Uni","Lady Margaret Hall, Université d'Oxford",15 juillet 2024 - 2 août 2024,changements climatiques,3 semaines,7.5 CE,3 980 livres sterling,10 mai 2024,,"Ce cours serait adapté aux étudiants STEM avec une expérience de niveau intermédiaire dans l'intelligence artificielle, l'apprentissage automatique et les concepts et techniques de vision informatique, y compris ceux qui entreprennent, ou se tournent vers l'avenir, l'étude ou la recherche de niveau supérieur. Plus précisément, les étudiants sur ce cours doivent avoir l'expérience des sujets suivants: - Connaissance des bibliothèques d'apprentissage profond. - Compréhension des réseaux neuronaux profonds et convolutionnels. - Forte expérience dans l'optimisation et la probabilité. - Familiarité avec le langage de programmation Python.","À la fin de ce cours, vous pourrez : - comprendre les algorithmes de vision informatique pour la classification, la reconnaissance et la détection, et leur mise en oeuvre dans les bibliothèques d'apprentissage profond. - connaître les différents types de réseau d'adversaires génératifs et leurs contributions distinctes à la synthèse de données contrôlée et à la génération d'images. - être en mesure d'identifier différents modèles de diffusion et d'évaluer leurs avantages dans la modélisation générative. - être en mesure de démontrer la conscience et la compréhension des derniers domaines de recherche clés dans la vision informatique.","GBP 3980: Ce montant comprend: - Tous les frais de scolarité, y compris les conférences, séminaires et didacticiels. - Évaluation, transcription des performances académiques, et certificat. - Un programme co-curriculaire d'ateliers de compétences et de conférenciers invités. - Accès à la bibliothèque du Collège Lady Margaret Hall. - Logements de chambre tout au long de votre programme. - Déjeuner et dîner dans la salle à manger du Collège du lundi au vendredi. - Un programme social et culturel complet, comprenant deux excursions dans d'autres villes anglaises par session de programme de trois semaines. - Une photographie de classe imprimée de haute qualité. - Un banquet officiel de graduation.",,"7.5 Les programmes d'été EC LMH sont conçus pour être éligibles au crédit, et nous recommandons l'attribution de 7.5 ECTS / 4 US / 15 CATS pour ce cours."
L'apprentissage automatique et les statistiques avancées,Madrid (Espagne),Madrid UPM Machine Learning and Advanced Statistics École d'été,17 juin 2024-28 juin 2024,changements climatiques,2 semaines,,300 EUR,14 juin 2024,Pedro Larrañaga,"doctorants, chercheurs, praticiens de l'apprentissage automatique.",,300 EUR: Les frais académiques par cours sont de 300 euros. Un étudiant peut s'inscrire jusqu'à 6 cours.,,
